ITEM;ÁREA;ITEM;DESCRIPCIÓN;ITEM;DESCRIPCIÓN;ITEM;;ITEM;PROCESO;DESCRIPCIÓN;UN;"Cantidad
Remanente";;PROCESO;TOTAL (M3);;INICIO;FIN;DÍAS;;45383;45413;45444;45474;45505;45536;45566;45597;45627;45658;45689;45717;45748;45778;45809;45839;45870;45901;45931;45962;45992;46023;46054;46082;46113;46143;46174;46204
1.1;MN1;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.1.;Excavación -  Fundación Muro Norte (km 1+800 A 3+320);1.1.1.1.1;VERDADERO;1.1.1.1.1;Excavación;Excavación material común - MN;m3;0;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN1;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.1.;Excavación -  Fundación Muro Norte (km 1+800 A 3+320);1.1.1.1.2;VERDADERO;1.1.1.1.2;Excavación;Excavación en Roca con medios mecánicos - MN;m3;0;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN1;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.1.;Excavación -  Fundación Muro Norte (km 1+800 A 3+320);1.1.1.1.3;VERDADERO;1.1.1.1.3;Excavación;Excavación en Roca Ripable  - MN;m3;0;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN2;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.2.;Excavación - Fundación Muro Norte (km 3+300 A 4+890);1.1.1.2.1;VERDADERO;1.1.1.2.1;Excavación;Excavación material común - MN;m3;0;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN2;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.2.;Excavación - Fundación Muro Norte (km 3+300 A 4+890);1.1.1.2.2;VERDADERO;1.1.1.2.2;Excavación;Excavación en Roca con medios mecánicos - MN;m3;0;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN2;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.2.;Excavación - Fundación Muro Norte (km 3+300 A 4+890);1.1.1.2.3;VERDADERO;1.1.1.2.3;Excavación;Excavación en Roca  Ripable - MN;m3;0;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN2;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.3.;Escarpes - Muro Norte;1.1.1.3.1;VERDADERO;1.1.1.3.1;Escarpe;Escarpe en arena - MN;m3;0;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN1;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.4.;Rellenos  - Aguas Abajo Muro Norte (km 1+800 A 3+300);1.1.1.4.1;VERDADERO;1.1.1.4.1;Relleno;Relleno masivo de Lastre - aguas abajo bajo cota 2496 AA - MN;m3;54890;;Relleno;54890;;45463;45474;12;;0;0;51601;3289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN2;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.5.;Rellenos - Aguas Abajo Muro Norte (km 3+300 A 4+890);1.1.1.5.1;VERDADERO;1.1.1.5.1;Relleno;Relleno masivo de Lastre - aguas abajo bajo cota 2496 EC - MN;m3;298896;;Relleno;298896;;45450;45567;118;;0;0;60035;79195;79195;76640;3832;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN2;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.6.;Rellenos - Aguas Arriba Muro Norte (km 3+300 A 4+890);1.1.1.6.1;VERDADERO;1.1.1.6.1;Zampeado;Relleno de lastre para Zampeado - MN;m3;11700;;Relleno;11700;;45567;45572;6;;0;0;0;0;0;0;11700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN2;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.6.;Rellenos - Aguas Arriba Muro Norte (km 3+300 A 4+890);1.1.1.6.2;VERDADERO;1.1.1.6.2;Relleno;Relleno masivo de Lastre - aguas arriba bajo cota 2496 - MN;m3;19100;;Relleno;19100;;45567;45572;6;;0;0;0;0;0;0;19100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN1;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.7.;Rellenos - Coronamiento Muro Norte (km 1+800 A 3+300);1.1.1.7.1;VERDADERO;1.1.1.7.1;Relleno;Relleno masivo de Lastre - coronamiento sobre cota 2496 AA - MN;m3;60180;;Relleno;60180;;45584;45614;31;;0;0;0;0;0;0;25075;35105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN1;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.7.;Rellenos - Coronamiento Muro Norte (km 1+800 A 3+300);1.1.1.7.2;VERDADERO;1.1.1.7.2;Pretil;Pretil de seguridad - coronamiento MN;m3;2385;;Relleno;2385;;45625;45627;3;;0;0;0;0;0;0;0;1789;596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN2;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.8.;Rellenos - Coronamiento  Muro Norte (km 3+300 A 4+890);1.1.1.8.1;VERDADERO;1.1.1.8.1;Relleno;Relleno masivo de Lastre - coronamiento sobre cota 2496 - MN;m3;121545;;Relleno;121545;;45625;45650;26;;0;0;0;0;0;0;0;7293;114252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN2;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.8.;Rellenos - Coronamiento  Muro Norte (km 3+300 A 4+890);1.1.1.8.2;VERDADERO;1.1.1.8.2;Pretil;Pretil de seguridad - coronamiento MN;m3;2990;;Relleno;2990;;45625;45628;4;;0;0;0;0;0;0;0;1495;1495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN2;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.8.;Rellenos - Coronamiento  Muro Norte (km 3+300 A 4+890);1.1.1.8.3;VERDADERO;1.1.1.8.3;Relleno;Relleno tipo Filtro F1 - MN;m3;6288;;Relleno;6288;;45625;45628;4;;0;0;0;0;0;0;0;3144;3144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN2;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.8.;Rellenos - Coronamiento  Muro Norte (km 3+300 A 4+890);1.1.1.8.4;VERDADERO;1.1.1.8.4;Relleno;Relleno material drenante tipo D2 - MN;m3;6223;;Relleno;6223;;45625;45628;4;;0;0;0;0;0;0;0;3112;3112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN2;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.8.;Rellenos - Coronamiento  Muro Norte (km 3+300 A 4+890);1.1.1.8.5;VERDADERO;1.1.1.8.5;Relleno;Relleno tipo Filtro F2 - MN;m3;6226;;Relleno;6226;;45625;45628;4;;0;0;0;0;0;0;0;3113;3113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN1;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.9.;Rellenos  - Filtros y relaves en talud Muro Norte (km 1+800 A 3+300);1.1.1.9.1;VERDADERO;1.1.1.9.1;Relleno;Relleno Tipo relaves - MN;m3;11808;;Relleno;11808;;45614;45620;7;;0;0;0;0;0;0;0;11808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.1;MN1;1.1.1;Movimientos de Tierra - IX ETAPA (Fase 1);1.1.1.9.;Rellenos  - Filtros y relaves en talud Muro Norte (km 1+800 A 3+300);1.1.1.9.2;VERDADERO;1.1.1.9.2;Relleno;Relleno tipo Filtro F1 - MN;m3;6288;;Relleno;6288;;45620;45625;6;;0;0;0;0;0;0;0;6288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.2;MNO2;1.2.1;Movimiento de Tierras IX Etapa;1.2.1.1;Excavación - Fundación Muro Noroeste 2;1.2.1.1.1;VERDADERO;1.2.1.1.1;Excavación;Excavación material común - MNO2;m3;4973;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.2;MNO2;1.2.1;Movimiento de Tierras IX Etapa;1.2.1.1;Excavación - Fundación Muro Noroeste 2;1.2.1.1.2;VERDADERO;1.2.1.1.2;Excavación;Excavación en Roca con medios mecánicos - MNO2;m3;1036;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.2;MNO2;1.2.1;Movimiento de Tierras IX Etapa;1.2.1.1;Excavación - Fundación Muro Noroeste 2;1.2.1.1.3;VERDADERO;1.2.1.1.3;Excavación;Excavación en Roca Ripable - MNO2;m3;6935;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.2;MNO2;1.2.1;Movimiento de Tierras IX Etapa;1.2.1.2.;Rellenos  - Aguas Abajo Muro Noroeste 2;1.2.1.2.1;VERDADERO;1.2.1.2.1;Relleno;Relleno masivo de Lastre - aguas abajo bajo la cota 2496 - MNO2;m3;92902;;Relleno;92902;;45663;45704;42;;0;0;0;0;0;0;0;0;0;57781;35121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.2;MNO2;1.2.1;Movimiento de Tierras IX Etapa;1.2.1.3.;Rellenos  - Coronamiento  Muro Noroeste 2;1.2.1.3.1;VERDADERO;1.2.1.3.1;Relleno;Relleno masivo de Lastre - coronamiento sobre cota 2496 - MNO2;m3;28555;;Relleno;28555;;45738;45744;7;;0;0;0;0;0;0;0;0;0;0;0;28555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.2;MNO2;1.2.1;Movimiento de Tierras IX Etapa;1.2.1.3.;Rellenos  - Coronamiento  Muro Noroeste 2;1.2.1.3.2;VERDADERO;1.2.1.3.2;Pretil;Pretil de seguridad - coronamiento MNO2;m3;604;;Relleno;604;;45744;45745;2;;0;0;0;0;0;0;0;0;0;0;0;604;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.2;MNO2;1.2.1;Movimiento de Tierras IX Etapa;1.2.1.4.;Rellenos  - Filtro y Relaves;1.2.1.4.1;VERDADERO;1.2.1.4.1;Relleno;Relleno tipo Filtro F1 - MNO2;m3;3805;;Relleno;3805;;45719;45726;8;;0;0;0;0;0;0;0;0;0;0;0;3805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.2;MNO2;1.2.1;Movimiento de Tierras IX Etapa;1.2.1.4.;Rellenos  - Filtro y Relaves;1.2.1.4.2;VERDADERO;1.2.1.4.2;Relleno;Relleno Tipo relaves - MNO2;m3;10794;;Relleno;10794;;45736;45738;3;;0;0;0;0;0;0;0;0;0;0;0;10794;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;MNO1;1.3.1;Movimiento de Tierras IX Etapa;1.3.1.1;Excavación - Fundación Muro Noroeste 1;1.3.1.1.1;VERDADERO;1.3.1.1.1;Excavación;Excavación material común - MNO1;m3;0;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;MNO1;1.3.1;Movimiento de Tierras IX Etapa;1.3.1.1;Excavación - Fundación Muro Noroeste 1;1.3.1.1.2;VERDADERO;1.3.1.1.2;Excavación;Excavación en Roca con medios mecánicos - MNO1;m3;400;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;MNO1;1.3.1;Movimiento de Tierras IX Etapa;1.3.1.1;Excavación - Fundación Muro Noroeste 1;1.3.1.1.3;VERDADERO;1.3.1.1.3;Excavación;Excavación en Roca Ripable - MNO1;m3;0;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;MNO1;1.3.1;Movimiento de Tierras IX Etapa;1.3.1.2;Rellenos - Aguas Abajo Muro Noroeste 1;1.3.1.2.1;VERDADERO;1.3.1.2.1;Relleno;Relleno masivo de Lastre - aguas abajo bajo la cota 2496 - MNO1;m3;58965;;Relleno;58965;;45600;45624;25;;0;0;0;0;0;0;0;58965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;MNO1;1.3.1;Movimiento de Tierras IX Etapa;1.3.1.3;Rellenos - Aguas Arriba;1.3.1.3.1;VERDADERO;1.3.1.3.1;Zampeado;Relleno de lastre para Zampeado - MNO1;m3;970;;Relleno;970;;45625;45625;1;;0;0;0;0;0;0;0;970;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;MNO1;1.3.1;Movimiento de Tierras IX Etapa;1.3.1.3;Rellenos - Aguas Arriba;1.3.1.3.2;VERDADERO;1.3.1.3.2;Relleno;Relleno masivo de Lastre - aguas arriba bajo la cota 2496 - MNO1;m3;2960;;Relleno;2960;;45626;45626;1;;0;0;0;0;0;0;0;2960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;MNO1;1.3.1;Movimiento de Tierras IX Etapa;1.3.1.4;Rellenos  - Coronamiento  Muro Noroeste 1;1.3.1.4.1;VERDADERO;1.3.1.4.1;Relleno;Relleno masivo de Lastre - coronamiento sobre cota 2496 - MNO1;m3;22374;;Relleno;22374;;45618;45626;9;;0;0;0;0;0;0;0;22374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;MNO1;1.3.1;Movimiento de Tierras IX Etapa;1.3.1.4;Rellenos  - Coronamiento  Muro Noroeste 1;1.3.1.4.2;VERDADERO;1.3.1.4.2;Pretil;Pretil de seguridad - coronamiento MNO1;m3;510;;Relleno;510;;45627;45627;1;;0;0;0;0;0;0;0;0;510;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;MNO1;1.3.1;Movimiento de Tierras IX Etapa;1.3.1.4;Rellenos  - Coronamiento  Muro Noroeste 1;1.3.1.4.3;VERDADERO;1.3.1.4.3;Relleno;Relleno tipo Filtro F1 - MNO1;m3;1145;;Relleno;1145;;45618;45626;9;;0;0;0;0;0;0;0;1145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;MNO1;1.3.1;Movimiento de Tierras IX Etapa;1.3.1.4;Rellenos  - Coronamiento  Muro Noroeste 1;1.3.1.4.4;VERDADERO;1.3.1.4.4;Relleno;Relleno material drenante tipo D2 - MNO1;m3;1142;;Relleno;1142;;45618;45626;9;;0;0;0;0;0;0;0;1142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;MNO1;1.3.1;Movimiento de Tierras IX Etapa;1.3.1.4;Rellenos  - Coronamiento  Muro Noroeste 1;1.3.1.4.5;VERDADERO;1.3.1.4.5;Relleno;Relleno tipo Filtro F2 - MNO1;m3;1141;;Relleno;1141;;45618;45626;9;;0;0;0;0;0;0;0;1141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.1;Excavación - Fundación Muro Oeste;1.4.1.1.1;VERDADERO;1.4.1.1.1;Excavación;Excavación material común - MO;m3;23634;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.1;Excavación - Fundación Muro Oeste;1.4.1.1.3;VERDADERO;1.4.1.1.3;Excavación;Excavación material común - Refuerzo MO;m3;7380;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.1;Excavación - Fundación Muro Oeste;1.4.1.1.4;VERDADERO;1.4.1.1.4;Excavación;Excavación en Roca con medios mecánicos - Refuerzo MO;m3;775;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.2.;Escarpes - Muro Oeste;1.4.1.2.1;VERDADERO;1.4.1.2.1;Escarpe;Escarpe en arena - MO;m3;0;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.2.;Escarpes - Muro Oeste;1.4.1.2.2;VERDADERO;1.4.1.2.2;Escarpe;Escarpe en arena - Refuerzo MO;m3;15017;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.2.;Escarpes - Muro Oeste;1.4.1.2.3;VERDADERO;1.4.1.2.3;Escarpe;Escarpe en terreno natural;m3;20015;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.3.;Rellenos - Aguas Abajo Muro Oeste;1.4.1.3.1;VERDADERO;1.4.1.3.1;Relleno;Relleno masivo de Lastre - aguas abajo bajo la cota 2496 - MO;m3;919853;;Relleno;919853;;45419;45598;180;;0;127757;153309;158419;158419;153309;158419;10221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.3.;Rellenos - Aguas Abajo Muro Oeste;1.4.1.3.2;VERDADERO;1.4.1.3.2;Relleno;Relleno masivo de Lastre - aguas abajo  Refuerzo MO+2 rampas acceso;m3;543720;;Relleno;543720;;45725;45784;60;;0;0;0;0;0;0;0;0;0;0;0;208426;271860;63434;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.4.;Rellenos - Aguas Arriba Muro Oeste;1.4.1.4.1;VERDADERO;1.4.1.4.1;Zampeado;Relleno de lastre para Zampeado - MO;m3;28193;;Relleno;28193;;45599;45616;18;;0;0;0;0;0;0;0;28193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.4.;Rellenos - Aguas Arriba Muro Oeste;1.4.1.4.2;VERDADERO;1.4.1.4.2;Relleno;Relleno masivo de Lastre - aguas arriba bajo la cota 2496 - MO;m3;46248;;Relleno;46248;;45605;45616;12;;0;0;0;0;0;0;0;46248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.5.;Rellenos  - Coronamiento  Muro Oeste;1.4.1.5.1;VERDADERO;1.4.1.5.1;Relleno;Relleno masivo de Lastre - coronamiento sobre cota 2496 - MO;m3;316677;;Relleno;316677;;45617;45696;80;;0;0;0;0;0;0;0;39585;122712;122712;31668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.5.;Rellenos  - Coronamiento  Muro Oeste;1.4.1.5.2;VERDADERO;1.4.1.5.2;Pretil;Pretil de seguridad - coronamiento MO;m3;7489;;Relleno;7489;;45737;45744;8;;0;0;0;0;0;0;0;0;0;0;0;7489;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.5.;Rellenos  - Coronamiento  Muro Oeste;1.4.1.5.3;VERDADERO;1.4.1.5.3;Relleno;Relleno tipo Filtro F1 - MO;m3;15805;;Relleno;15805;;45722;45741;20;;0;0;0;0;0;0;0;0;0;0;0;15805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.5.;Rellenos  - Coronamiento  Muro Oeste;1.4.1.5.4;VERDADERO;1.4.1.5.4;Relleno;Relleno material drenante tipo D2 - MO;m3;15800;;Relleno;15800;;45722;45741;20;;0;0;0;0;0;0;0;0;0;0;0;15800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.5.;Rellenos  - Coronamiento  Muro Oeste;1.4.1.5.5;VERDADERO;1.4.1.5.5;Relleno;Relleno tipo Filtro F2 - MO;m3;15830;;Relleno;15830;;45722;45736;15;;0;0;0;0;0;0;0;0;0;0;0;15830;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.5;MS1;1.5.1;"Movimiento de Tierras IX Etapa - Muro Sur 
TRAMO 1. km  10+700 a 14+600";1.5.1.1;Excavación - Fundación Muro Sur Tramo 1;1.5.1.1.1;VERDADERO;1.5.1.1.1;Excavación;Excavación - MS;m3;0;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.5;MS1;1.5.1;"Movimiento de Tierras IX Etapa - Muro Sur 
TRAMO 1. km  10+700 a 14+600";1.5.1.1;Excavación - Fundación Muro Sur Tramo 1;1.5.1.1.2;VERDADERO;1.5.1.1.2;Excavación;Excavación en Roca con medios mecánicos - MS;m3;424;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.5;MS1;1.5.1;"Movimiento de Tierras IX Etapa - Muro Sur 
TRAMO 1. km  10+700 a 14+600";1.5.1.1;Excavación - Fundación Muro Sur Tramo 1;1.5.1.1.3;VERDADERO;1.5.1.1.3;Excavación;Excavación en Roca ripable - MS;m3;0;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.5;MS1;1.5.1;"Movimiento de Tierras IX Etapa - Muro Sur 
TRAMO 1. km  10+700 a 14+600";1.5.1.2.;Escarpes  - Muro Sur Tramo 1;1.5.1.2.1;VERDADERO;1.5.1.2.1;Escarpe;Escarpe en arena - MS;m3;8848;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.5;MS1;1.5.1;"Movimiento de Tierras IX Etapa - Muro Sur 
TRAMO 1. km  10+700 a 14+600";1.5.1.3.;Rellenos - Aguas Abajo - Muro Sur Tramo 1;1.5.1.3.1;VERDADERO;1.5.1.3.1;Relleno;Relleno masivo de Lastre - aguas abajo bajo la cota 2496 - MS;m3;803852;;Relleno;803852;;45453;45572;120;;0;0;140674;207662;207662;200963;46891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
